name,supermarket,priceFrom,priceTo,description,discountTag,image,validUntil
Hask Haarverzorging,ah,17.98,13.47,Bijv. Argan oil repair shine - 2 flessen à 59 ml,2e HALVE PRIJS,,12-07
Hawkins &amp; Brimble en Bulldog en Just for Men haarkleuring,ah,13.49,11.49,Bijv. Just for men Blond H10 - Fles 60 ml,ACTIE,,12-07
L'Oréal Haarkleuring,ah,36.38,20.00,Bijv. Excellence age perfect 8.31 - 2 stuks,2 VOOR 20.00,,12-07
L'Oréal Paris make-up,ah,29.98,22.49,Bijv. Paris nude magique BB cream fair - 2 stuks,2e HALVE PRIJS,,12-07
Maybelline New York Make-up,ah,28.98,14.49,Bijv. Maybelline New York Volum - 2 stuks,1 + 1 GRATIS,,12-07
"ROC, Dr. vd Hoog, Biore en Clearasil reiniging",ah,17.18,8.59,Bijv. Ultra pads - 2 pakken à 65 stuks,1 + 1 GRATIS,,12-07
"S. Oliver, Tabac en Geuren",ah,19.19,11.51,Bijv. Fly High eau de toilette woman - Per stuk,ACTIE,,12-07
Trind Nagelverzorging,ah,14.10,7.05,Bijv. Nailpolish remover - 2 flessen à 125 ml,1 + 1 GRATIS,,12-07
Balneum Weleda en Nûby Babyverzorging,ah,8.19,6.14,Bijv. Baby calendula shampoo - Fles 200 ml,25% KORTING,,12-07
Etos Lichaamsverzorging,ah,3.98,2.99,Bijv. Handcrème intensive - 2 stuks à 75 ml,2e HALVE PRIJS,,12-07
Etos Mondwater,ah,2.69,2.00,Bijv. Mondwater Total Protection - Fles 500 ml,ACTIE,,12-07
Etos Standaard flesvoeding,ah,13.98,10.00,Bijv. Standaard 2 - 2 pakken à 800 gram,2 VOOR 10.00,,12-07
Inoli Badolie en Lavera Handcrème haarkleuring,ah,4.89,3.67,Bijv. Hand cream anti-ageing 100% - Per stuk,25% KORTING,,12-07
Love Beauty Planet,ah,8.99,6.74,Bijv. Dry shampoo volume &amp; bounty - Fles 245 ml,25% KORTING,,12-07
Naïf Babyverzorging,ah,19.90,14.93,Bijv. Baby care milde wasgel - 2 flessen à 200 ml,2e HALVE PRIJS,,12-07
Optinova Maandlenzen,ah,6.99,5.24,Bijv. Comfort maandlenzen hyaluron - Per set,25% KORTING,,12-07
Therme Lichaamsverzorging,ah,15.70,10.00,Bijv. Zen white lotus foaming - 2 stuks à 200 ml,2 VOOR 10.00,,12-07
Unicare en Amo lenzenvloeistoffen,ah,17.90,13.43,Bijv. Vita+ alles-in-één - 2 flessen à 240 ml,2e HALVE PRIJS,,12-07
WaterWipes Babydoekjes,ah,28.78,21.59,Bijv. Babydoekjes - 2 pakken à 240 stuks,2e halve prijs,,12-07
Weleda,ah,7.99,5.99,Bijv. Sport douchegel - 2 flessen à 200 ml,25% KORTING,,12-07
Incontinentie en Inlegkruisjes,ah,1.19,0.89,Bijv. Inlegkruisjes fresh - Per pak à 30 stuks,25% KORTING,,12-07
"Lucovitaal, Swisse en Optimax supplementen",ah,9.98,4.99,Bijv. Melatonine forte 2 mg - 2 pakken à 30 stuks,1 + 1 GRATIS,,12-07
A. Vogel Solidago,ah,15.99,13.59,Bijv. Solidago - Per stuk,15% korting,,12-07
